epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.817,2.23275,4.0406,1.72445,0.40478,0.40495,0.35957,0.1347,2.02916,2.26838,1.79399,0.000369855,0.000369855,0.000369855
2,320.566,2.04969,2.53541,1.62296,0.61136,0.46633,0.46871,0.18387,1.96829,1.99627,1.73265,0.000725533,0.000725533,0.000725533
3,477.472,2.02802,2.20098,1.62119,0.55437,0.5178,0.51677,0.20608,1.98901,1.82269,1.74537,0.00106655,0.00106655,0.00106655
4,633.068,1.99026,2.01985,1.61444,0.61776,0.53587,0.55971,0.2359,1.94697,1.81067,1.75109,0.00104501,0.00104501,0.00104501
5,789.691,1.99092,1.93066,1.62895,0.64654,0.53083,0.57428,0.2442,1.94368,1.63049,1.73689,0.00102301,0.00102301,0.00102301
6,946.718,1.93584,1.8154,1.58542,0.59769,0.60367,0.63344,0.27109,1.86134,1.55006,1.74182,0.00100101,0.00100101,0.00100101
7,1103.07,1.91876,1.75725,1.58343,0.7314,0.58451,0.64306,0.2721,1.86002,1.67749,1.71543,0.000979013,0.000979013,0.000979013
8,1259.85,1.89936,1.68984,1.57681,0.68124,0.58052,0.659,0.28018,1.8907,1.51863,1.71281,0.000957015,0.000957015,0.000957015
9,1415.54,1.90331,1.65717,1.57442,0.73147,0.60842,0.67776,0.29417,1.87183,1.47615,1.71057,0.000935018,0.000935018,0.000935018
10,1571.15,1.90366,1.62612,1.56254,0.66436,0.67523,0.70619,0.30883,1.86116,1.45152,1.67835,0.00091302,0.00091302,0.00091302
11,1728.02,1.87874,1.59647,1.56633,0.71809,0.66034,0.71841,0.31542,1.8504,1.38926,1.67457,0.000891022,0.000891022,0.000891022
12,1882.27,1.87578,1.55244,1.5538,0.72956,0.67057,0.73398,0.32386,1.83252,1.37005,1.66626,0.000869024,0.000869024,0.000869024
13,2037.52,1.8652,1.53704,1.56047,0.75641,0.66892,0.74195,0.32518,1.8434,1.3187,1.69666,0.000847026,0.000847026,0.000847026
14,2193,1.86227,1.51196,1.55163,0.79246,0.66956,0.76149,0.33172,1.84961,1.3186,1.68377,0.000825029,0.000825029,0.000825029
15,2348.13,1.84825,1.48829,1.5407,0.75006,0.69308,0.75767,0.32699,1.85657,1.28181,1.69358,0.000803031,0.000803031,0.000803031
16,2503.09,1.8514,1.47091,1.54578,0.79824,0.69002,0.77778,0.34013,1.84089,1.29129,1.66549,0.000781033,0.000781033,0.000781033
17,2659.32,1.8384,1.45852,1.52661,0.82105,0.72431,0.80458,0.35791,1.81079,1.24205,1.64885,0.000759035,0.000759035,0.000759035
18,2815.8,1.83007,1.42995,1.52677,0.76548,0.73674,0.78839,0.34553,1.82876,1.23139,1.67748,0.000737037,0.000737037,0.000737037
19,2972.79,1.82414,1.44037,1.52855,0.78809,0.7394,0.80206,0.35246,1.82264,1.22296,1.65514,0.00071504,0.00071504,0.00071504
20,3128.54,1.83111,1.40256,1.5235,0.80797,0.7228,0.79714,0.35314,1.83863,1.23658,1.68234,0.000693042,0.000693042,0.000693042
